NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE
AT1;AT13;AT130;90200;.;932.529.740;560.699.642;371.830.098;16.640;18.263;14.746;23.817;25.622;21.358;20041231
AT1;AT13;AT130;90300;.;1.043.958.345;623.323.401;420.634.944;19.290;21.964;16.466;27.164;30.256;23.359;20041231
AT1;AT13;AT130;90400;.;414.601.295;252.203.186;162.398.109;21.126;24.824;17.320;30.706;35.255;25.275;20041231
AT1;AT13;AT130;90500;.;568.481.785;331.698.461;236.783.324;16.484;18.108;14.712;23.861;25.680;21.539;20041231
AT1;AT13;AT130;90600;.;395.666.454;235.115.978;160.550.477;19.132;21.560;16.530;27.688;30.743;23.930;20041231
AT1;AT13;AT130;90700;.;404.406.387;230.858.459;173.547.928;19.046;21.447;16.665;27.863;30.537;24.782;20041231
AT1;AT13;AT130;90800;.;335.297.341;195.514.877;139.782.464;20.645;23.832;17.516;30.679;34.865;25.958;20041231
AT1;AT13;AT130;90900;.;536.702.302;316.020.338;220.681.965;19.534;22.627;16.460;28.957;32.538;24.764;20041231
AT1;AT13;AT130;91000;.;1.704.108.186;1.036.285.972;667.822.214;16.765;18.542;14.680;22.693;24.423;20.261;20041231
AT1;AT13;AT130;91100;.;918.102.510;559.564.869;358.537.641;16.930;18.901;14.658;22.442;24.181;19.938;20041231
AT1;AT13;AT130;91200;.;900.455.841;539.516.236;360.939.604;17.126;19.039;14.974;23.702;25.590;21.156;20041231
AT1;AT13;AT130;91300;.;762.372.425;486.245.664;276.126.761;24.701;30.745;18.641;33.265;39.087;25.820;20041231
AT1;AT13;AT130;91400;.;1.044.488.584;630.564.798;413.923.786;19.809;22.804;16.637;26.705;29.629;22.923;20041231
AT1;AT13;AT130;91500;.;674.494.780;403.995.300;270.499.480;15.025;16.252;13.560;21.619;22.945;19.776;20041231
AT1;AT13;AT130;91600;.;992.802.257;590.336.262;402.465.995;16.576;18.087;14.835;23.321;25.168;20.897;20041231
AT1;AT13;AT130;91700;.;591.023.044;357.867.940;233.155.104;17.768;19.940;15.329;25.755;28.388;22.253;20041231
AT1;AT13;AT130;91800;.;645.719.513;399.904.377;245.815.136;20.915;25.061;16.671;30.226;34.714;24.548;20041231
AT1;AT13;AT130;91900;.;895.897.336;573.081.251;322.816.086;22.875;28.208;17.401;32.315;37.688;25.427;20041231
AT1;AT13;AT130;92000;.;776.085.488;469.828.406;306.257.081;15.783;17.145;14.128;22.290;23.773;20.211;20041231
AT1;AT13;AT130;92100;.;1.565.222.225;955.093.598;610.128.627;18.158;20.700;15.356;24.071;26.345;20.875;20041231
AT1;AT13;AT130;92200;.;1.885.539.825;1.166.555.108;718.984.716;19.355;22.477;15.953;25.110;27.664;21.416;20041231
AT1;AT13;AT130;92300;.;1.206.168.336;752.867.580;453.300.756;20.923;24.809;16.814;27.365;30.894;22.569;20041231
AT1;AT13;AT130;90100;.;290.489.718;191.054.403;99.435.315;28.638;35.904;21.011;41.870;50.072;31.727;20051231
AT1;AT13;AT130;90200;.;956.215.346;573.122.532;383.092.813;17.074;18.703;15.179;24.782;26.581;22.319;20051231
